name	tdl	sym	uniprot	chr
Semaphorin-3D	Tbio	SEMA3D	O95025	7q21.11
Semaphorin-4G	Tdark	SEMA4G	Q9NTN9	10q24.31
Semaphorin-5A	Tbio	SEMA5A	Q13591	5p15.31
Semaphorin-6B	Tbio	SEMA6B	Q9H3T3	19p13.3
Sentrin-specific protease 3	Tbio	SENP3	Q9H4L4	17p13
Septin-11	Tbio	SEPT11	Q9NVA2	4q21.1
Septin-14	Tdark	SEPT14	Q6ZU15	7p11.2
Histone-lysine N-methyltransferase SETDB1	Tbio	SETDB1	Q15047	1q21.3
Histone-lysine N-methyltransferase SETDB2	Tbio	SETDB2	Q96T68	13q14.2
SET-binding protein	Tbio	SETBP1	Q9Y6X0	18q12.3
Histone-lysine N-methyltransferase SETD2	Tchem	SETD2	Q9BYW2	3p21.31
Protein SFI1 homolog	Tdark	SFI1	A8K8P3	22q12.2
Splicing factor, arginine/serine-rich 15	Tbio	SCAF4	O95104	21q22.11
Splicing factor, arginine/serine-rich 19	Tdark	SCAF1	Q9H7N4	19q13.3-q13.4
Secreted frizzled-related protein 4	Tbio	SFRP4	Q6FHJ7	7p14.1
Secreted frizzled-related protein 5	Tbio	SFRP5	Q5T4F7	10q24.2
Vesicle transport protein SFT2A	Tdark	SFT2D1	Q8WV19	6q27
Vesicle transport protein SFT2B	Tdark	SFT2D2	O95562	1q24.2
Pulmonary surfactant-associated protein A1	Tbio	SFTPA1	Q8IWL2	10q22.3
Sideroflexin-1	Tdark	SFXN1	Q9H9B4	5q35.2
Sperm-associated antigen 11A	Tbio	SPAG11A	Q6PDA7	8p23.1
Secretoglobin family 1C member 1	Tdark	SCGB1C2	Q8TD33	17p13.3
Secretoglobin family 1C member 2	Tdark	SCGB1C2	P0DMR2	17p13.3
Secretoglobin family 1D member 2	Tbio	SCGB1D2	O95969	11q12.3
Mammaglobin-A	Tbio	SCGB2A2	Q13296	11q12.3
Secretoglobin family 3A member 1	Tbio	SCGB3A1	Q96QR1	5q35.3
Alpha-sarcoglycan	Tbio	SGCA	Q16586	17q21.33
Zeta-sarcoglycan	Tbio	SGCZ	Q96LD1	8p22
SH3-containing GRB2-like protein 3-interacting protein 1	Tbio	SGIP1	Q9BQI5	1p31.3
Shugoshin 1	Tbio	SGO1	Q5FBB7	3p24.3
Shugoshin 2	Tbio	SGO2	Q562F6	2q33.1
Small glutamine-rich tetratricopeptide repeat-containing protein beta	Tbio	SGTB	Q96EQ0	5q12.3
SH2 domain-containing protein 1A	Tbio	SH2D1A	O60880	Xq25
SH2B adapter protein 1	Tbio	SH2B1	Q9NRF2	16p11.2
SH2 domain-containing protein 5	Tdark	SH2D5	Q6ZV89	1p36.12
SH3 domain-binding protein 4	Tbio	SH3BP4	Q9P0V3	2q37.2
SH3 domain-binding glutamic acid-rich protein	Tdark	SH3BGR	P55822	21q22.2
Endophilin-A1	Tbio	SH3GL2	Q99962	9p22.2
Endophilin-A3	Tbio	SH3GL3	Q99963	15q25.2
SH3 domain-binding glutamic acid-rich-like protein 2	Tbio	SH3BGRL2	Q9UJC5	6q14.1
SH3 and multiple ankyrin repeat domains protein 3	Tbio	SHANK3	Q9BYB0	22q13.33
Sex hormone-binding globulin	Tchem	SHBG	P04278	17p13.1
SH2 domain-containing adapter protein D	Tdark	SHD	Q96IW2	19p13.3
SH2 domain-containing adapter protein E	Tdark	SHE	Q5VZ18	1q21.3
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	Tbio	INPP5D	Q92835	2q37.1
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Tchem	INPPL1	O15357	11q13.4
SH3KBP1-binding protein 1	Tdark	SHKBP1	Q8TBC3	19q13.2
Endophilin-B1	Tbio	SH3GLB1	Q9Y371	1p22.3
Sedoheptulokinase	Tbio	SHPK	Q9UHJ6	17p13.2
Tyrosine-protein phosphatase non-receptor type substrate 1	Tbio	SIRPA	P78324	20p13
Protein shisa-2 homolog	Tdark	SHISA2	Q6UWI4	13q12.13
Protein shisa-3 homolog	Tdark	SHISA3	A0PJX4	4p13
Putative protein shisa-8	Tdark	SHISA8	B8ZZ34	22q13.2
Small integral membrane protein 11B	Tdark	SMIM11B	Q8TCY0	21p11.2
Signal-induced proliferation-associated 1-like protein 1	Tbio	SIPA1L1	O43166	14q24.1
Signal-induced proliferation-associated 1-like protein 3	Tbio	SIPA1L3	O60292	19q13.13-q13.2
CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase	Tbio	ST8SIA4	Q92187	5q21.1
Alpha-2,8-sialyltransferase 8E	Tdark	ST8SIA5	O15466	18q21.1
E3 ubiquitin-protein ligase SIAH2	Tbio	SIAH2	O43255	3q25.1
Lactosylceramide alpha-2,3-sialyltransferase	Tbio	ST3GAL5	Q9UNP4	2p11.2
Sialic acid-binding Ig-like lectin 10	Tbio	SIGLEC10	Q96LC7	19q13.41
Sialic acid-binding Ig-like lectin 16	Tdark	SIGLEC16	A6NMB1	19q13.33
U2 small nuclear ribonucleoprotein A'	Tbio	SNRPA1	P09661	15q26.3
Putative small nuclear ribonucleoprotein G-like protein 15	Tdark	SNRPGP15	A8MWD9	19p13.12
Small nuclear ribonucleoprotein G	Tdark	SNRPG	P62308	2p13.3
RWD domain-containing protein 1	Tdark	RWDD1	Q9H446	6q22.1
RWD domain-containing protein 4	Tdark	RWDD4	Q6NW29	4q35.1
Protein S100-G	Tbio	S100G	P29377	Xp22.2
Protein S100-Z	Tbio	S100Z	Q8WXG8	5q13.3
Protein S100-A1	Tbio	S100A1	P23297	1q21.3
Protein S100-A6	Tbio	S100A6	P06703	1q21.3
Solute carrier family 22 member 9	Tbio	SLC22A9	Q8IVM8	11q12.3
Solute carrier family 22 member 11	Tclin	SLC22A11	Q9NSA0	11q13.1
Solute carrier family 22 member 13	Tbio	SLC22A13	Q9Y226	3p22.2
Solute carrier family 22 member 14	Tdark	SLC22A14	Q9Y267	3p22.2
Solute carrier family 22 member 16	Tbio	SLC22A16	Q86VW1	6q21
Solute carrier family 22 member 17	Tbio	SLC22A17	Q8WUG5	14q11.2
Solute carrier family 22 member 20	Tdark	SLC22A20P	A6NK97	11q13.1
Solute carrier family 22 member 25	Tdark	SLC22A25	Q6T423	11q12.3
Solute carrier family 25 member 36	Tbio	SLC25A36	Q96CQ1	3q23
Solute carrier family 25 member 38	Tbio	SLC25A38	Q96DW6	3p22.1
Solute carrier family 25 member 47	Tbio	SLC25A47	Q6Q0C1	14q32.2
Solute carrier family 25 member 48	Tdark	SLC25A48	Q6ZT89	5q31.1
Sulfate anion transporter 1	Tbio	SLC26A1	Q9H2B4	4p16.3
Chloride anion exchanger	Tbio	SLC26A3	P40879	7q22.3-q31.1
Pendrin	Tbio	SLC26A4	O43511	7q22.3
Prestin	Tbio	SLC26A5	P58743	7q22.1
Very long-chain acyl-CoA synthetase	Tbio	SLC27A2	O14975	15q21.2
Long-chain fatty acid transport protein 4	Tchem	SLC27A4	Q6P1M0	9q34.11
Bile acyl-CoA synthetase	Tbio	SLC27A5	Q9Y2P5	19q13.43
Putative protein SNX29P2	Tdark	SNX29P2	Q8IUI4	16p11.2
Spermatogenesis-associated protein 31A5	Tdark	SPATA31A5	Q5VU36	9q12
Spermatogenesis-associated protein 31A7	Tdark	SPATA31A7	Q8IWB4	9q12
Spermatogenesis-associated protein 31C2	Tdark	SPATA31C2	B4DYI2	9q22.1
Adenosylhomocysteinase	Tchem	AHCY	P23526	20q11.22
Sal-like protein 1	Tbio	SALL1	Q9NSC2	16q12.1
Sterile alpha motif domain-containing protein 10	Tdark	SAMD10	Q9BYL1	20q13.33
Sterile alpha motif domain-containing protein 12	Tdark	SAMD12	Q8N8I0	8q24.11-q24.12
Sterile alpha motif domain-containing protein 11	Tdark	SAMD11	Q96NU1	1p36.33
Sterile alpha motif domain-containing protein 15	Tdark	SAMD15	Q9P1V8	14q24.3
SAM domain-containing protein SAMSN-1	Tbio	SAMSN1	Q9NSI8	21q11.2
Prosaposin	Tbio	PSAP	P07602	10q22.1
Sarcolipin	Tbio	SLN	O00631	11q22.3
Sarcosine dehydrogenase, mitochondrial	Tbio	SARDH	Q9UL12	9q34.2
SAP domain-containing ribonucleoprotein	Tbio	SARNP	P82979	12q13.2
S-acyl fatty acid synthase thioesterase, medium chain	Tdark	OLAH	Q9NV23	10p13
Serine/threonine-protein kinase SBK1	Tchem	SBK1	Q52WX2	16p11.2
Serine/threonine-protein kinase SBK2	Tdark	SBK2	P0C263	19q13.42
Uncharacterized serine/threonine-protein kinase SBK3	Tchem	SBK3	P0C264	19q13.42
Selenocysteine insertion sequence-binding protein 2-like	Tdark	SECISBP2L	Q93073	15q21.1
Vesicle-trafficking protein SEC22c	Tdark	SEC22C	Q9BRL7	3p22.1
Protein transport protein Sec24B	Tbio	SEC24B	O95487	4q25
Protein transport protein Sec31B	Tdark	SEC31B	Q9NQW1	10q24.31
Sodium/glucose cotransporter 1	Tchem	SLC5A1	P13866	22q12.3
Sodium/glucose cotransporter 2	Tclin	SLC5A2	P31639	16p11.2
Solute carrier family 5 member 4	Tchem	SLC5A4	Q9NY91	22q12.3
Sodium/iodide cotransporter	Tbio	SLC5A5	Q92911	19p13.11
High affinity choline transporter 1	Tchem	SLC5A7	Q9GZV3	2q12.3
Sodium-coupled monocarboxylate transporter 1	Tchem	SLC5A8	Q8N695	12q23.1-q23.2
Lathosterol oxidase	Tbio	SC5D	O75845	11q23.3-q24.1
Endoplasmic reticulum protein SC65	Tbio	P3H4	Q92791	17q21.2
Sodium- and chloride-dependent GABA transporter 1	Tclin	SLC6A1	P30531	3p25.3
Sodium- and chloride-dependent glycine transporter 2	Tchem	SLC6A5	Q9Y345	11p15.1
Sodium- and chloride-dependent creatine transporter 1	Tbio	SLC6A8	P48029	Xq28
Protein SCAF8	Tdark	SCAF8	Q9UPN6	6q25.2
Secretory carrier-associated membrane protein 2	Tbio	SCAMP2	O15127	15q24.1
Secretory carrier-associated membrane protein 3	Tbio	SCAMP3	O14828	1q22
Secretory carrier-associated membrane protein 5	Tdark	SCAMP5	Q8TAC9	15q24.2
S phase cyclin A-associated protein in the endoplasmic reticulum	Tbio	SCAPER	Q9BY12	15q24.3
Scavenger receptor class A member 3	Tbio	SCARA3	Q6AZY7	8p21.1
MAU2 chromatid cohesion factor homolog	Tdark	MAU2	Q9Y6X3	19p13.11
Sec1 family domain-containing protein 1	Tbio	SCFD1	Q8WVM8	14q12
Schwannomin-interacting protein 1	Tbio	SCHIP1	P0DPB3	3q25.33
SLP adapter and CSK-interacting membrane protein	Tdark	SCIMP	Q6UWF3	17p13.2
Sodium channel and clathrin linker 1	Tdark	SCLT1	Q96NL6	4q28.2
Selenocysteine lyase	Tbio	SCLY	Q96I15	2q37.3
Sex comb on midleg-like protein 2	Tbio	SCML2	Q9UQR0	Xp22.13
Sodium channel protein type 1 subunit alpha	Tclin	SCN1A	P35498	2q24.3
Sodium channel protein type 7 subunit alpha	Tclin	SCN7A	Q01118	2q24.3
Sodium channel protein type 8 subunit alpha	Tclin	SCN8A	Q9UQD0	12q13.13
Sodium channel protein type 9 subunit alpha	Tclin	SCN9A	Q15858	2q24.3
Amiloride-sensitive sodium channel subunit alpha	Tclin	SCNN1A	P37088	12p13
Amiloride-sensitive sodium channel subunit delta	Tbio	SCNN1D	P51172	1p36.33
Amiloride-sensitive sodium channel subunit gamma	Tclin	SCNN1G	P51170	16p12.2
Protein SCO1 homolog, mitochondrial	Tbio	SCO1	O75880	17p13.1
Protein SCO2 homolog, mitochondrial	Tbio	SCO2	O43819	22q13.33
Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	Tbio	OXCT1	P55809	5p13.1
Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial	Tdark	OXCT2	Q9BYC2	1p34.2
Scrapie-responsive protein 1	Tdark	SCRG1	O75711	4q34.1
Protein scribble homolog	Tbio	SCRIB	Q14160	8q24.3
Basic helix-loop-helix transcription factor scleraxis	Tbio	SCX	Q7RTU7	8q24.3
Syndecan-1	Tbio	SDC1	P18827	2p24.1
Ras-like protein family member 11A	Tdark	RASL11A	Q6T310	13q12.2
Radial spoke head 14 homolog	Tdark	RSPH14	Q9UHP6	22q11.22-q11.23
Serine/Arginine-related protein 53	Tdark	RSRC1	Q96IZ7	3q25.32
Arginine/serine-rich coiled-coil protein 2	Tdark	RSRC2	Q7L4I2	12q24.31
Retbindin	Tdark	RTBDN	Q9BSG5	19p13
Protein S100-B	Tchem	S100B	P04271	21q22.3
Protein S100-P	Tbio	S100P	P25815	4p16.1
Protein S100-A2	Tbio	S100A2	P29034	1q21.3
Protein S100-A4	Tbio	S100A4	P26447	1q21.3
Protein S100-A5	Tbio	S100A5	P33763	1q21.3
Protein S100-A11	Tbio	S100A11	P31949	1q21.3
Protein S100-A12	Tbio	S100A12	P80511	1q21.3
Solute carrier family 12 member 4	Tbio	SLC12A4	Q9UP95	16q22.1
Solute carrier family 12 member 6	Tbio	SLC12A6	Q9UHW9	15q14
Solute carrier family 13 member 1	Tbio	SLC13A1	Q9BZW2	7q31.32
Solute carrier family 13 member 3	Tbio	SLC13A3	Q8WWT9	20q13.12
Solute carrier family 13 member 4	Tbio	SLC13A4	Q9UKG4	7q33
Solute carrier family 13 member 5	Tchem	SLC13A5	Q86YT5	17p13.1
SEC14-like protein 1	Tbio	SEC14L1	Q92503	17q25.2-q25.3
SEC14-like protein 5	Tdark	SEC14L5	O43304	16p13.3
Solute carrier family 17 member 9	Tchem	SLC17A9	Q9BYT1	20q13.33
SS18-like protein 2	Tdark	SS18L2	Q9UHA2	3p22.1
Spermatogenesis-associated protein 31A1	Tdark	SPATA31A1	Q5TZJ5	9p12
Electrogenic sodium bicarbonate cotransporter 4	Tbio	SLC4A5	Q9BY07	2p13.1
Electroneutral sodium bicarbonate exchanger 1	Tbio	SLC4A8	Q2Y0W8	12q13.13
Sodium- and chloride-dependent betaine transporter	Tchem	SLC6A12	P48065	12p13.33
Sodium- and chloride-dependent GABA transporter 2	Tchem	SLC6A13	Q9NSD5	12p13.33
Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)	Tchem	SLC6A14	Q9UN76	Xq23
Sodium-dependent neutral amino acid transporter B(0)AT2	Tchem	SLC6A15	Q9H2J7	12q21.31
Sodium- and chloride-dependent transporter XTRP3	Tbio	SLC6A20	Q9NP91	3p21.31
Solute carrier family 7 member 13	Tdark	SLC7A13	Q8TCU3	8q21.3
Serum amyloid A-2 protein	Tbio	SAA2	P0DJI9	11p15.1
SAC3 domain-containing protein 1	Tdark	SAC3D1	A6NKF1	11q13.1
Histone deacetylase complex subunit SAP18	Tbio	SAP18	O00422	13q12.11
Diamine acetyltransferase 2	Tbio	SAT2	Q96F10	17p13.1
Stromal cell-derived factor 1	Tbio	CXCL12	P48061	10q11.21
Protein sidekick-1	Tbio	SDK1	Q7Z5N4	7p22.2
Protein sidekick-2	Tdark	SDK2	Q58EX2	17q25.1
Translocation protein SEC62	Tbio	SEC62	Q99442	3q26.2
Putative spermatogenesis-associated protein 31D4	Tdark	SPATA31D4	Q6ZUB0	9q21.32
Spermatogenesis-associated protein 31E1	Tdark	SPATA31E1	Q6ZUB1	9q22.1
Solute carrier family 35 member E2B	Tdark	SLC35E2B	P0CK96	1p36.33
Probable UDP-sugar transporter protein SLC35A4	Tdark	SLC35A4	Q96G79	5q31.3
Solute carrier family 35 member B1	Tdark	SLC35B1	P78383	17q21.33
Solute carrier family 35 member D3	Tdark	SLC35D3	Q5M8T2	6q23.3
Solute carrier family 35 member F1	Tdark	SLC35F1	Q5T1Q4	6q22.2-q22.31
Solute carrier family 35 member F4	Tdark	SLC35F4	A4IF30	14q22.3-q23.1
Solute carrier family 35 member F6	Tbio	SLC35F6	Q8N357	2p23.3
Solute carrier family 35 member G1	Tbio	SLC35G1	Q2M3R5	10q23.33
Solute carrier family 35 member G3	Tdark	SLC35G3	Q8N808	17q12
Putative solute carrier family 35 member G4	Tdark	SLC35G4	P0C7Q5	18p11.21
Solute carrier family 35 member G6	Tdark	SLC35G6	P0C7Q6	17p13.1
Proton-coupled amino acid transporter 1	Tchem	SLC36A1	Q7Z2H8	5q33.1
Proton-coupled amino acid transporter 3	Tdark	SLC36A3	Q495N2	5q33.1
Sodium-coupled neutral amino acid transporter 4	Tbio	SLC38A4	Q969I6	12q13.11
Sodium-coupled neutral amino acid transporter 5	Tbio	SLC38A5	Q8WUX1	Xp11.23
Putative sodium-coupled neutral amino acid transporter 7	Tdark	SLC38A7	Q9NVC3	16q21
Zinc transporter ZIP2	Tbio	SLC39A2	Q9NP94	14q11.2
Zinc transporter ZIP3	Tbio	SLC39A3	Q9BRY0	19p13.3
Zinc transporter ZIP9	Tbio	SLC39A9	Q9NUM3	14q24.1
Solute carrier family 41 member 1	Tbio	SLC41A1	Q8IVJ1	1q32.1
Solute carrier family 45 member 3	Tbio	SLC45A3	Q96JT2	1q32.1
Solute carrier family 45 member 4	Tdark	SLC45A4	Q5BKX6	8q24.3
Solute carrier family 46 member 3	Tdark	SLC46A3	Q7Z3Q1	13q12.3
Sodium bicarbonate transporter-like protein 11	Tbio	SLC4A11	Q8NBS3	20p13
Solute carrier family 52, riboflavin transporter, member 1	Tbio	SLC52A1	Q9NWF4	17p13.2
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Tclin	SRD5A1	P18405	5p15.31
Protein transport protein Sec61 subunit alpha isoform 2	Tdark	SEC61A2	Q9H9S3	10p14
Protein SIX6OS1	Tdark	C14orf39	Q8N1H7	14q23.1
Probable cationic amino acid transporter	Tdark	SLC7A14	Q8TBB6	3q26.2
Probable RNA polymerase II nuclear localization protein SLC7A6OS	Tdark	SLC7A6OS	Q96CW6	16q22.1
Serum amyloid A-1 protein	Tbio	SAA1	P0DJI8	11p15.1
Sperm acrosome membrane-associated protein 3	Tbio	SPACA3	Q8IXA5	17q11.2
Sal-like protein 3	Tbio	SALL3	Q9BXA9	18q23
Sal-like protein 4	Tbio	SALL4	Q9UJQ4	20q13.2
Sterile alpha motif domain-containing protein 13	Tdark	SAMD13	Q5VXD3	1p31.1
Sorting and assembly machinery component 50 homolog	Tbio	SAMM50	Q9Y512	22q13.31
Histone deacetylase complex subunit SAP30	Tbio	SAP30	O75446	4q34.1
Ganglioside GM2 activator	Tbio	GM2A	P17900	5q33.1
Proactivator polypeptide-like 1	Tdark	PSAPL1	Q6NUJ1	4p16.1
GTP-binding protein SAR1b	Tbio	SAR1B	Q9Y6B6	5q31.1
Specifically androgen-regulated gene protein	Tbio	C1orf116	Q9BW04	1q32.1
Sterile alpha and TIR motif-containing protein 1	Tbio	SARM1	Q6SZW1	17q11.2
Squamous cell carcinoma antigen recognized by T-cells 3	Tbio	SART3	Q15020	12q23.3
Something about silencing protein 10	Tbio	UTP3	Q9NQZ2	4q13.3
DNA-binding protein SATB2	Tbio	SATB2	Q9UPW6	2q33.1
Neutral amino acid transporter A	Tbio	SLC1A4	P43007	2p14
Stabilizer of axonemal microtubules 1	Tbio	SAXO1	Q8IYX7	9p22.1
Selenium-binding protein 1	Tbio	SELENBP1	Q13228	1q21.3
Signal peptidase complex catalytic subunit SEC11A	Tbio	SEC11A	P67812	15q25.2
Vesicle-trafficking protein SEC22a	Tdark	SEC22A	Q96IW7	3q21.1
Protein transport protein Sec23A	Tbio	SEC23A	Q15436	14q21.1
Sodium/myo-inositol cotransporter	Tbio	SLC5A3	P53794	21q22.11
Sodium/myo-inositol cotransporter 2	Tchem	SLC5A11	Q8WWX8	16p12.1
Sodium-coupled monocarboxylate transporter 2	Tdark	SLC5A12	Q1EHB4	11p14.2
Protein transport protein Sec61 subunit gamma	Tdark	SEC61G	P60059	7p11.2
Secretory carrier-associated membrane protein 4	Tdark	SCAMP4	Q969E2	19p13.3
Sterol regulatory element-binding protein cleavage-activating protein	Tbio	SCAP	Q12770	3p21.31
Scavenger receptor class A member 5	Tbio	SCARA5	Q6ZMJ2	8p21.1
Stearoyl-CoA desaturase 5	Tchem	SCD5	Q86SK9	4q21.22
Sciellin	Tbio	SCEL	O95171	13q22.3
Sec1 family domain-containing protein 2	Tdark	SCFD2	Q8WU76	4q12
Secretogranin-1	Tbio	CHGB	P05060	20p12.3
Calcium-binding mitochondrial carrier protein SCaMC-2	Tbio	SLC25A25	Q6KCM7	9q34.11
Sodium channel subunit beta-1	Tbio	SCN1B	Q07699	19q13.11
Sodium channel subunit beta-4	Tbio	SCN4B	Q8IWT1	11q23.3
SCAN domain-containing protein 1	Tbio	SCAND1	P57086	20q11.23
Putative SCAN domain-containing protein SCAND2P	Tdark	SCAND2P	Q9GZW5	15q25.2
SCAN domain-containing protein 3	Tdark	ZBED9	Q6R2W3	6p22.1
Short coiled-coil protein	Tbio	SCOC	Q9UIL1	4q31.1
Scavenger receptor class B member 1	Tchem	SCARB1	Q8WTV0	12q24.31
Lysosome membrane protein 2	Tbio	SCARB2	Q14108	4q21.1
Secernin-3	Tbio	SCRN3	Q0VDG4	2q31.1
Transcriptional repressor scratch 2	Tdark	SCRT2	Q9NQ03	20p13
Secreted and transmembrane protein 1	Tbio	SECTM1	Q8WVN6	17q25
Secretin receptor	Tclin	SCTR	P47872	2q14.2
Signal peptide, CUB and EGF-like domain-containing protein 3	Tbio	SCUBE3	Q8IX30	6p21.3
Syndecan-3	Tbio	SDC3	O75056	1p35.2
Syndecan-4	Tbio	SDC4	P31431	20q13.12
Syntenin-1	Tbio	SDCBP	O00560	8q12.1
Stromal cell-derived factor 2-like protein 1	Tdark	SDF2L1	Q9HCN8	22q11.21
Stromal cell-derived factor 2	Tbio	SDF2	Q99470	17q11.2
Succinate dehydrogenase assembly factor 2, mitochondrial	Tbio	SDHAF2	Q9NX18	11q12.2
Protein sel-1 homolog 1	Tbio	SEL1L	Q9UBV2	14q31
Protein sel-1 homolog 3	Tdark	SEL1L3	Q68CR1	4p15.2
Putative uncharacterized protein SERTAD4-AS1	Tdark	SERTAD4-AS1	Q5TG53	1q32.2
Homeobox protein SEBOX	Tbio	SEBOX	Q9HB31	17q11.2
Translocation protein SEC63 homolog	Tbio	SEC63	Q9UGP8	6q21
Serine hydrolase-like protein 2	Tdark	SERHL2	Q9H4I8	22q13.2
Selenoprotein N	Tbio	SELENON	Q9NZV5	1p36.11
Selenoprotein V	Tdark	SELENOV	P59797	19q13.2
Semaphorin-3B	Tbio	SEMA3B	Q13214	3p21.31
Semaphorin-3C	Tbio	SEMA3C	Q99985	7q21.11
Semaphorin-3F	Tbio	SEMA3F	Q13275	3p21.31
Semaphorin-3G	Tbio	SEMA3G	Q9NS98	3p21.1
Semaphorin-4A	Tbio	SEMA4A	Q9H3S1	1q22
Semaphorin-4B	Tbio	SEMA4B	Q9NPR2	15q25
Semaphorin-5B	Tbio	SEMA5B	Q9P283	3q21.1
Semaphorin-6A	Tbio	SEMA6A	Q9H2E6	5q23.1
Semaphorin-6D	Tbio	SEMA6D	Q8NFY4	15q21.1
Semenogelin-2	Tbio	SEMG2	Q02383	20q13.12
tRNA-splicing endonuclease subunit Sen15	Tdark	TSEN15	Q8WW01	1q25.3
40S ribosomal protein S27-like	Tbio	RPS27L	Q71UM5	15q22.2
Radical S-adenosyl methionine domain-containing protein 2	Tbio	RSAD2	Q8WXG1	2p25.2
Ras-like protein family member 10A	Tbio	RASL10A	Q92737	22q12.2
Ras-like protein family member 10B	Tdark	RASL10B	Q96S79	17q12
Small nuclear ribonucleoprotein-associated proteins B and B'	Tbio	SNRPB	P14678	20p13
28S ribosomal protein S5, mitochondrial	Tdark	MRPS5	P82675	2q11.1
28S ribosomal protein S6, mitochondrial	Tdark	MRPS6	P82932	21q22.11
28S ribosomal protein S7, mitochondrial	Tbio	MRPS7	Q9Y2R9	17q25.1
28S ribosomal protein S9, mitochondrial	Tdark	MRPS9	P82933	2q12.1
28S ribosomal protein S11, mitochondrial	Tdark	MRPS11	P82912	15q25.3
28S ribosomal protein S14, mitochondrial	Tdark	MRPS14	O60783	1q25.1
28S ribosomal protein S18b, mitochondrial	Tdark	MRPS18B	Q9Y676	6p21.33
28S ribosomal protein S23, mitochondrial	Tdark	MRPS23	Q9Y3D9	17q22
28S ribosomal protein S27, mitochondrial	Tbio	MRPS27	Q92552	5q13.2
39S ribosomal protein S30, mitochondrial	Tbio	MRPS30	Q9NP92	5p12
28S ribosomal protein S34, mitochondrial	Tdark	MRPS34	P82930	16p13.3
28S ribosomal protein S36, mitochondrial	Tdark	MRPS36	P82909	5q13.2
Reticulon-4-interacting protein 1, mitochondrial	Tbio	RTN4IP1	Q8WWV3	6q21
Rhotekin	Tbio	RTKN	Q9BST9	2p13.1
Retrotransposon Gag-like protein 8B	Tdark	RTL8B	Q17RB0	Xq26.3
RWD domain-containing protein 2A	Tdark	RWDD2A	Q9UIY3	6q14.1
Retinoic acid receptor RXR-beta	Tclin	RXRB	P28702	6p21.32
Retinal homeobox protein Rx	Tbio	RAX	Q9Y2V3	18q21.32
Sphingosine 1-phosphate receptor 2	Tchem	S1PR2	O95136	19p13.2
Sphingosine 1-phosphate receptor 4	Tclin	S1PR4	O95977	19p13.3
Sodium-dependent phosphate transporter 2	Tbio	SLC20A2	Q08357	8p11.21
Solute carrier family 22 member 7	Tbio	SLC22A7	Q9Y694	6p21.1
Solute carrier family 22 member 8	Tclin	SLC22A8	Q8TCC7	11q12.3
Solute carrier family 23 member 1	Tchem	SLC23A1	Q9UHI7	5q31.2
Solute carrier family 23 member 2	Tbio	SLC23A2	Q9UGH3	20p13
Solute carrier family 25 member 35	Tdark	SLC25A35	Q3KQZ1	17p13.1
Solute carrier family 25 member 45	Tdark	SLC25A45	Q8N413	11q13.1
Solute carrier family 25 member 51	Tdark	SLC25A51	Q9H1U9	9p13.2-p13.1
Solute carrier family 25 member 52	Tdark	SLC25A52	Q3SY17	18q12.1
Sodium-independent sulfate anion transporter	Tdark	SLC26A11	Q86WA9	17q25.3
Sulfate transporter	Tbio	SLC26A2	P50443	5q32
Testis anion transporter 1	Tbio	SLC26A8	Q96RN1	6p21.31
Solute carrier family 26 member 9	Tbio	SLC26A9	Q7LBE3	1q32.1
Long-chain fatty acid transport protein 6	Tbio	SLC27A6	Q9Y2P4	5q23.3
Equilibrative nucleoside transporter 1	Tclin	SLC29A1	Q99808	6p21.1
Equilibrative nucleoside transporter 2	Tbio	SLC29A2	Q14542	11q13.2
Equilibrative nucleoside transporter 3	Tbio	SLC29A3	Q9BZD2	10q22.1
Equilibrative nucleoside transporter 4	Tchem	SLC29A4	Q7RTT9	7p22.1
SLC2A4 regulator	Tbio	SLC2A4RG	Q9NR83	20q13.33
SAP30-binding protein	Tbio	SAP30BP	Q9UHR5	17q25.1
tRNA-splicing endonuclease subunit Sen54	Tbio	TSEN54	Q7Z6J9	17q25.1
Sentrin-specific protease 1	Tchem	SENP1	Q9P0U3	12q13.11
Sentrin-specific protease 7	Tbio	SENP7	Q9BQF6	3q12.3
Septin-10	Tbio	SEPT10	Q9P0V9	2q13
Septin-4	Tbio	SEPT4	O43236	17q22
D-3-phosphoglycerate dehydrogenase	Tbio	PHGDH	O43175	1p12
Sesquipedalian-2	Tbio	FAM109B	Q6ICB4	22q13.2
Splicing factor 3B subunit 6	Tbio	SF3B6	Q9Y3B4	2p23.3
Secreted frizzled-related protein 1	Tchem	SFRP1	Q8N474	8p11.21
Secreted frizzled-related protein 3	Tbio	FRZB	Q92765	2q32.1
SH2 domain-containing protein 6	Tdark	SH2D6	Q7Z4S9	2p11.2
SHC-transforming protein 4	Tbio	SHC4	Q6S5L8	15q21.1
SHC SH2 domain-binding protein 1	Tbio	SHCBP1	Q8NEM2	16q11.2
Endophilin-B2	Tbio	SH3GLB2	Q9NR46	9q34.11
